Vertex Id	Closeness centrality as fraction	Closeness centrality
32525	51931/237559	0,21860
32526	51931/289489	0,17939
32527	51931/236597	0,21949
32529	51931/272459	0,19060
32531	51931/236591	0,21950
32532	51931/288521	0,17999
32533	51931/236584	0,21950
32534	51931/288514	0,17999
32535	51931/236688	0,21941
32537	51931/271118	0,19154
32538	51931/323048	0,16075
32539	51931/236589	0,21950
32541	51931/237554	0,21861
32543	51931/236676	0,21942
32544	51931/288606	0,17994
32545	51931/272416	0,19063
32547	51931/236577	0,21951
32548	51931/288507	0,18000
32549	51931/236582	0,21951
32551	51931/237658	0,21851
32552	51931/289588	0,17933
32553	51931/237553	0,21861
32555	51931/236576	0,21951
32557	51931/236583	0,21950
32559	51931/237564	0,21860
32561	51931/272413	0,19063
32563	51931/237635	0,21853
32564	51931/289565	0,17934
32565	51931/272434	0,19062
32567	51931/236595	0,21949
32568	51931/288525	0,17999
32569	51931/272355	0,19067
32570	51931/324285	0,16014
32571	51931/272347	0,19068
32573	51931/272414	0,19063
32575	51931/272394	0,19065
32577	51931/271153	0,19152
32578	51931/272344	0,19068
32579	51931/288400	0,18007
32580	51931/288415	0,18006
32581	51931/288396	0,18007
32582	51931/272373	0,19066
32583	51931/272265	0,19074
32584	51931/272330	0,19069
32585	51931/322885	0,16083
32586	51931/237663	0,21851
32588	51931/271113	0,19155
32590	51931/237673	0,21850
32592	51931/271010	0,19162
32593	51931/322940	0,16081
32594	51931/271036	0,19160
32595	51931/322966	0,16079
32596	51931/236691	0,21940
32598	51931/272322	0,19070
32599	51931/324252	0,16016
32600	51931/271103	0,19155
32601	51931/323033	0,16076
32602	51931/237669	0,21850
32603	51931/289599	0,17932
32604	51931/271106	0,19155
32605	51931/323036	0,16076
32606	51931/237586	0,21858
32607	51931/289516	0,17937
32608	51931/236597	0,21949
32609	51931/288527	0,17999
32610	51931/271102	0,19156
32612	51931/272444	0,19061
32613	51931/288359	0,18009
32614	51931/288419	0,18005
32615	51931/272234	0,19076
32616	51931/236670	0,21942
32617	51931/288600	0,17994
32618	51931/272317	0,19070
32619	51931/324247	0,16016
32620	51931/272349	0,19068
32621	51931/324279	0,16014
32622	51931/271107	0,19155
32623	51931/323037	0,16076
32624	51931/236652	0,21944
32625	51931/288582	0,17995
32626	51931/272337	0,19069
32627	51931/324267	0,16015
32628	51931/236577	0,21951
32630	51931/237667	0,21850
32631	51931/289597	0,17932
32632	51931/236662	0,21943
32634	51931/271129	0,19154
32636	51931/236591	0,21950
32637	51931/288521	0,17999
32638	51931/271110	0,19155
32639	51931/323040	0,16076
32640	51931/237648	0,21852
32641	51931/289578	0,17933
32642	51931/272324	0,19070
32643	51931/324254	0,16016
32644	51931/237637	0,21853
32645	51931/236685	0,21941
32646	51931/288330	0,18011
32647	51931/288370	0,18008
32648	51931/288376	0,18008
32649	51931/271015	0,19162
32651	51931/272432	0,19062
32653	51931/237547	0,21861
32655	51931/237669	0,21850
32656	51931/289599	0,17932
32657	51931/272327	0,19069
32659	51931/272310	0,19071
32660	51931/324240	0,16016
32661	51931/271123	0,19154
32662	51931/323053	0,16075
32663	51931/272389	0,19065
32665	51931/237634	0,21853
32667	51931/236675	0,21942
32668	51931/288605	0,17994
32669	51931/272445	0,19061
32670	51931/324375	0,16010
32671	51931/236658	0,21943
32672	51931/288588	0,17995
32673	51931/272404	0,19064
32674	51931/324334	0,16012
32675	51931/237644	0,21852
32676	51931/289574	0,17934
32677	51931/236674	0,21942
32679	51931/271107	0,19155
32680	51931/323037	0,16076
32681	51931/271108	0,19155
32683	51931/236520	0,21956
32684	51931/271038	0,19160
32686	51931/237566	0,21860
32687	51931/236598	0,21949
32688	51931/288456	0,18003
32689	51931/288444	0,18004
32690	51931/288431	0,18005
32691	51931/272493	0,19058
32693	51931/236563	0,21952
32695	51931/272343	0,19068
32697	51931/272275	0,19073
32698	51931/271121	0,19154
32699	51931/323051	0,16075
32700	51931/272327	0,19069
32701	51931/236595	0,21949
32702	51931/288462	0,18003
32703	51931/324205	0,16018
32704	51931/288440	0,18004
32705	51931/272412	0,19063
32707	51931/272330	0,19069
32708	51931/324260	0,16015
32709	51931/272427	0,19062
32711	51931/271043	0,19160
32712	51931/272422	0,19063
32713	51931/324352	0,16011
32714	51931/271048	0,19159
32715	51931/237578	0,21859
32716	51931/288397	0,18007
32717	51931/288430	0,18005
32718	51931/288426	0,18005
32719	51931/272452	0,19061
32720	51931/324382	0,16009
32721	51931/237576	0,21859
32722	51931/289506	0,17938
32723	51931/237556	0,21861
32725	51931/272432	0,19062
32727	51931/271029	0,19161
32729	51931/272422	0,19063
32731	51931/237558	0,21860
32732	51931/289488	0,17939
32733	51931/271042	0,19160
32734	51931/322972	0,16079
32735	51931/271095	0,19156
32736	51931/323025	0,16076
32737	51931/237546	0,21861
32738	51931/237578	0,21859
32739	51931/322924	0,16081
32740	51931/236663	0,21943
32741	51931/237631	0,21854
32742	51931/288399	0,18007
32743	51931/288369	0,18009
32744	51931/288381	0,18008
32745	51931/272338	0,19069
32747	51931/272434	0,19062
32749	51931/236588	0,21950
32751	51931/272324	0,19070
32753	51931/236656	0,21944
32755	51931/271036	0,19160
32757	51931/272427	0,19062
32758	51931/324357	0,16010
32759	51931/271122	0,19154
32761	51931/236706	0,21939
32762	51931/288636	0,17992
32763	51931/236675	0,21942
32765	51931/236651	0,21944
32766	51931/288581	0,17995
32767	51931/236594	0,21949
32768	51931/288524	0,17999
32769	51931/237555	0,21861
32771	51931/272330	0,19069
32772	51931/324260	0,16015
32773	51931/237649	0,21852
32774	51931/289579	0,17933
32775	51931/236570	0,21952
32777	51931/272429	0,19062
32778	51931/324359	0,16010
32779	51931/237656	0,21851
32781	51931/272420	0,19063
32782	51931/324350	0,16011
32783	51931/236656	0,21944
32785	51931/271118	0,19154
32787	51931/271035	0,19160
32789	51931/236581	0,21951
32790	51931/288511	0,18000
32791	51931/272420	0,19063
32792	51931/324350	0,16011
32793	51931/272413	0,19063
32795	51931/272327	0,19069
32796	51931/324257	0,16015
32797	51931/272409	0,19064
32798	51931/324339	0,16011
32799	51931/271054	0,19159
32800	51931/322984	0,16079
32801	51931/272330	0,19069
32802	51931/324260	0,16015
32803	51931/272409	0,19064
32805	51931/237644	0,21852
32807	51931/236582	0,21951
32809	51931/236589	0,21950
32811	51931/271036	0,19160
32813	51931/236567	0,21952
32815	51931/272440	0,19061
32816	51931/236518	0,21956
32817	51931/271060	0,19158
32819	51931/236683	0,21941
32820	51931/288408	0,18006
32821	51931/288405	0,18006
32822	51931/271022	0,19161
32823	51931/322952	0,16080
32824	51931/237693	0,21848
32826	51931/236689	0,21941
32827	51931/288619	0,17993
32828	51931/271001	0,19163
32830	51931/236603	0,21949
32832	51931/237550	0,21861
32834	51931/236590	0,21950
32835	51931/288520	0,17999
32836	51931/272326	0,19069
32838	51931/237642	0,21853
32840	51931/271021	0,19161
32842	51931/271114	0,19155
32843	51931/323044	0,16076
32844	51931/271131	0,19153
32846	51931/236617	0,21947
32848	51931/236573	0,21951
32849	51931/288503	0,18000
32850	51931/272403	0,19064
32851	51931/324333	0,16012
32852	51931/236605	0,21948
32853	51931/288535	0,17998
32854	51931/271110	0,19155
32856	51931/237651	0,21852
32857	51931/289581	0,17933
32858	51931/271008	0,19162
32859	51931/322938	0,16081
32860	51931/237548	0,21861
32861	51931/289478	0,17940
32862	51931/272311	0,19070
32864	51931/272342	0,19068
32865	51931/324272	0,16015
